Tiempo,Carga,Extensión de tracción
(s),(N),(mm)
55.9,11869.00781,2.03852
56,11871.08008,2.04677
56.1,11874.90234,2.05507
56.2,11878.80078,2.06343
56.3,11883.0918,2.07178
56.4,11885.58691,2.0802
56.5,11888.19824,2.0885
56.6,11891.61523,2.0967
56.7,11894.87598,2.10505
56.8,11898.82812,2.11341
56.9,11902.74414,2.12187
57,11904.48535,2.13018
57.1,11907.00488,2.13843
57.2,11910.17871,2.14668
57.3,11914.12891,2.15503
57.4,11917.99023,2.16345
57.5,11920.11133,2.17186
57.6,11922.12891,2.18011
57.7,11925.47266,2.18836
57.8,11929.01953,2.19677
57.9,11931.98926,2.20512
58,11935.37988,2.21353
58.1,11937.37012,2.22184
58.2,11939.38184,2.23014
58.3,11941.62305,2.23845
58.4,11944.85254,2.2468
58.5,11948.59375,2.25511
58.6,11951.39746,2.26352
58.7,11953.24707,2.27177
58.8,11956.76172,2.28012
58.9,11958.61621,2.28837
59,11962.13965,2.29673
59.1,11965.35059,2.30514
59.2,11966.75293,2.3135
59.3,11969.22852,2.3217
59.4,11972.06836,2.33005
59.5,11975.41309,2.33846
59.6,11978.24609,2.34682
59.7,11980.09863,2.35523
59.8,11981.44434,2.36348
59.9,11983.68066,2.37168
60,11986.83789,2.38009
60.1,11990.55176,2.38845
60.2,11992.51855,2.39686
60.3,11993.50098,2.40511
60.4,11996.03711,2.41336
60.5,11998.00684,2.42171
60.6,12001.36328,2.43007
60.7,12004.06934,2.43848
60.8,12005.29883,2.44684
60.9,12006.39844,2.45514
61,12008.40234,2.46344
61.1,12010.9375,2.47175
61.2,12013.68848,2.48011
61.3,12015.42383,2.48852
61.4,12017.42285,2.49687
61.5,12018.16406,2.50507
61.6,12020.30469,2.51343
61.7,12023.53516,2.52178
61.8,12026.07617,2.53014
61.9,12027.32422,2.53844
62,12028.56934,2.54675
62.1,12030.14551,2.55505
62.2,12032.76758,2.56341
62.3,12035.44922,2.57177
62.4,12037.1084,2.58018
62.5,12037.99805,2.58848
62.6,12039.2959,2.59673
62.7,12042.07227,2.60509
62.8,12044.05469,2.61339
62.9,12045.93555,2.6218
63,12047.25781,2.63016
63.1,12048.31348,2.63841
63.2,12049.4873,2.64671
63.3,12052.58398,2.65512
63.4,12054.4209,2.66343
63.5,12056.16504,2.67178
63.6,12056.61621,2.68014
63.7,12058.08594,2.68839
63.8,12059.46582,2.69675
63.9,12061.61719,2.70511
64,12064.03906,2.71352
64.1,12064.34863,2.72187
64.2,12064.64062,2.73012
64.3,12066.19727,2.73848
64.4,12068.07812,2.74678
64.5,12070.22656,2.75509
64.6,12071.99316,2.7635
64.7,12071.66895,2.7718
64.8,12071.87891,2.78
64.9,12074.30762,2.78841
65,12076.30371,2.79671
65.1,12078.50684,2.80518
65.2,12078.63672,2.81348
65.3,12078.6582,2.82173
65.4,12080.17188,2.83003
65.5,12082.24609,2.83839
65.6,12085.00684,2.8468
65.7,12084.81152,2.85516
65.8,12084.75293,2.86346
65.9,12086.20508,2.87177
66,12086.79688,2.88007
66.1,12089.49902,2.88837
66.2,12090.91406,2.89678
66.3,12091.05566,2.90514
66.4,12091.5791,2.91339
66.5,12092.17969,2.92175
66.6,12094.5918,2.93005
66.7,12096.47559,2.93841
66.8,12097.40137,2.94682
66.9,12096.15234,2.95512
67,12096.56543,2.96343
67.1,12098.5,2.97178
67.2,12100.71582,2.98014
67.3,12101.24023,2.98855
67.4,12100.62012,2.99686
67.5,12100.9873,3.00511
67.6,12102.14941,3.01341
67.7,12103.80957,3.02177
67.8,12105.83984,3.03018
67.9,12105.20703,3.03848
68,12104.79004,3.04673
68.1,12105.94727,3.05509
68.2,12107.61621,3.06339
68.3,12109.63086,3.07175
68.4,12109.78613,3.08016
68.5,12109.10352,3.08852
68.6,12108.65137,3.09677
68.7,12109.60547,3.10512
68.8,12111.16504,3.11343
68.9,12112.73926,3.12184
69,12112.01367,3.13014
69.1,12112.09473,3.13844
69.2,12112.1377,3.14675
69.3,12113.34375,3.155
69.4,12116.03613,3.16341
69.5,12116.08203,3.17182
69.6,12114.6123,3.18012
69.7,12115.29004,3.18843
69.8,12116.00684,3.19673
69.9,12117.69434,3.20503
70,12118.48633,3.2135
70.1,12117.40625,3.22186
70.2,12116.69434,3.23016
70.3,12116.63379,3.23841
70.4,12118.89941,3.24677
70.5,12119.83691,3.25512
70.6,12119.38086,3.26348
70.7,12118.64062,3.27178
70.8,12118.7168,3.28009
70.9,12119.41602,3.28839
71,12121.10547,3.29675
71.1,12121.2666,3.30516
71.2,12119.81934,3.31352
71.3,12119.81055,3.32177
71.4,12119.36523,3.33007
71.5,12120.85938,3.33843
71.6,12122.22168,3.34678
71.7,12121.54883,3.3552
71.8,12119.77344,3.3635
71.9,12119.57812,3.37169
72,12120.72754,3.38005
72.1,12122.76074,3.38841
72.2,12121.97266,3.39682
72.3,12120.65332,3.40518
72.4,12119.45117,3.41337
72.5,12119.87695,3.42168
72.6,12121.87012,3.43003
72.7,12122.36426,3.43845
72.8,12121.57031,3.44686
72.9,12119.48145,3.45511
73,12120.12109,3.46341
73.1,12120.32715,3.47171
73.2,12121.98047,3.48012
73.3,12121.19824,3.48853
73.4,12119.11426,3.49684
73.5,12118.23438,3.50509
73.6,12118.89648,3.51339
73.7,12119.79492,3.52169
73.8,12119.44141,3.53011
73.9,12118.99902,3.53852
74,12117.89355,3.54687
74.1,12116.88867,3.55507
74.2,12117.85352,3.56337
74.3,12118.0127,3.57173
74.4,12117.41699,3.58019
74.5,12115.23242,3.58855
74.6,12114.24609,3.59675
74.7,12115.01172,3.60505
74.8,12115.10645,3.61341
74.9,12115.35254,3.62187
75,12112.47266,3.63018
75.1,12110.75391,3.63843
75.2,12110.78516,3.64668
75.3,12111.63965,3.65503
75.4,12112.39355,3.66344
75.5,12110.60645,3.67186
75.6,12108.04883,3.68016
75.7,12107.32422,3.68836
75.8,12107.80859,3.69671
75.9,12107.75391,3.70507
76,12106.69434,3.71353
76.1,12104.44238,3.72189
76.2,12102.56738,3.73014
76.3,12101.9248,3.73839
76.4,12101.50195,3.74664
76.5,12101.96191,3.75511
76.6,12100.18066,3.76352
76.7,12097.3916,3.77182
76.8,12097.02148,3.78012
76.9,12095.09961,3.78837
77,12095.67676,3.79673
77.1,12094.69336,3.80514
77.2,12091.50977,3.81355
77.3,12089.71875,3.8218
77.4,12088.67188,3.83005
77.5,12088.15039,3.83841
77.6,12087.07324,3.84682
77.7,12084.74316,3.85523
77.8,12081.66504,3.86348
77.9,12079.95996,3.87173
78,12079.18457,3.88003
78.1,12079.66504,3.88844
78.2,12076.47754,3.89686
78.3,12073.19629,3.90516
78.4,12071.37988,3.91341
78.5,12070.33105,3.92171
78.6,12069.76855,3.93002
78.7,12068.23438,3.93848
78.8,12065.1543,3.94689
78.9,12061.88672,3.95509
79,12060.18066,3.96339
79.1,12058.47852,3.97169
79.2,12057.36914,3.98016
79.3,12053.97461,3.98852
79.4,12051.26855,3.99687
79.5,12048.01367,4.00502
79.6,12046.17969,4.01337
79.7,12045.11523,4.02173
79.8,12043.60938,4.03014
79.9,12039.18848,4.0385
80,12036.01465,4.0468
80.1,12033.55957,4.055
80.2,12031.81836,4.06341
80.3,12029.82324,4.07177
80.4,12026.68164,4.08023
80.5,12022.22559,4.08853
80.6,12019.0625,4.09668
80.7,12017.34961,4.10503
80.8,12015.19629,4.11339
80.9,12012.00586,4.12186
81,12008.14551,4.13021
81.1,12003.91113,4.13841
81.2,12001.5127,4.14666
81.3,12000.1543,4.15507
81.4,11996.43848,4.16343
81.5,11993.35742,4.17184
81.6,11989.32129,4.18014
81.7,11985.78223,4.18839
81.8,11982.93359,4.19675
81.9,11980.55371,4.20511
82,11977.5,4.21352
82.1,11972.39355,4.22187
82.2,11968.22363,4.23007
82.3,11965.48535,4.23837
82.4,11962.43066,4.24673
82.5,11959.69336,4.25514
82.6,11955.46094,4.26355
82.7,11949.62402,4.2718
82.8,11946.44238,4.28
82.9,11943.96875,4.28841
83,11940.76172,4.29677
83.1,11937.3916,4.30523
83.2,11931.76074,4.31348
83.3,11927.32812,4.32173
83.4,11923.59863,4.33003
83.5,11921.5,4.33839
83.6,11917.29883,4.34686
83.7,11912.10254,4.35521
83.8,11907.20996,4.36346
83.9,11903.37891,4.37171
84,11899.36914,4.38002
84.1,11896.47363,4.38843
84.2,11892.7373,4.39689
84.3,11887.31836,4.40519
84.4,11882.87305,4.41339
84.5,11878.5293,4.42175
84.6,11874.63379,4.43011
84.7,11871.0459,4.43846
84.8,11866.24805,4.44687
84.9,11860.72559,4.45512
85,11856.12402,4.46337
85.1,11852.14746,4.47173
85.2,11848.09961,4.48014
85.3,11843.66699,4.48855
85.4,11837.92383,4.4968
85.5,11832.94629,4.50505
85.6,11829.05273,4.51341
85.7,11824.75586,4.52177
85.8,11821.2168,4.53018
85.9,11814.86816,4.53848
86,11809.73242,4.54673
86.1,11805.22559,4.55503
86.2,11800.97852,4.56339
86.3,11796.83496,4.5718
86.4,11791.92676,4.58021
86.5,11785.75879,4.58852
86.6,11780.42871,4.59677
86.7,11775.56543,4.60507
86.8,11771.63672,4.61343
86.9,11766.99805,4.62184
87,11761.39648,4.63019
87.1,11755.375,4.63844
87.2,11749.46191,4.64675
87.3,11745.08984,4.655
87.4,11741.68457,4.66346
87.5,11736.53711,4.67187
87.6,11729.47559,4.68012
87.7,11724.33301,4.68837
87.8,11718.57031,4.69673
87.9,11714.50195,4.70514
88,11710.03223,4.7135
88.1,11703.59863,4.72186
88.2,11697.32227,4.73011
88.3,11691.58594,4.73836
88.4,11687.70312,4.74677
88.5,11682.65039,4.75512
88.6,11676.50781,4.76348
88.7,11670.53418,4.77178
88.8,11664.63965,4.78003
88.9,11659.46484,4.78839
89,11654.93555,4.7968
89.1,11649.73828,4.80511
89.2,11642.61816,4.81346
89.3,11637.11035,4.82171
89.4,11630.87207,4.83007
89.5,11626.10449,4.83848
89.6,11620.99805,4.84684
89.7,11615.04297,4.85519
89.8,11608.0957,4.8635
89.9,11601.79102,4.87175
90,11596.55957,4.88005
90.1,11592.30664,4.88846
90.2,11586.45898,4.89682
90.3,11578.99316,4.90518
90.4,11571.65137,4.91337
90.5,11566.44824,4.92168
90.6,11561.73926,4.93009
90.7,11556.1582,4.9385
90.8,11549.82715,4.94686
90.9,11542.06641,4.95511
91,11535.59082,4.96336
91.1,11530.61328,4.97171
91.2,11525.82617,4.98012
91.3,11519.08398,4.98853
91.4,11511.38867,4.99678
91.5,11504.37012,5.00503
91.6,11498.51074,5.01339
91.7,11493.32129,5.02175
91.8,11488.04785,5.03011
91.9,11481.26953,5.03846
92,11474.26367,5.04682
92.1,11467.19238,5.05507
92.2,11461.83008,5.06343
92.3,11456.26172,5.07178
92.4,11450.01172,5.08014
92.5,11442.63086,5.0885
92.6,11435.10254,5.09675
92.7,11428.33301,5.10505
92.8,11423.55664,5.11346
92.9,11417.48145,5.12182
93,11409.1875,5.13018
93.1,11402.21973,5.13843
93.2,11395.37793,5.14673
93.3,11389.7207,5.15503
93.4,11384.75293,5.16344
93.5,11377.47363,5.17186
93.6,11369.31445,5.18011
93.7,11361.96387,5.18836
93.8,11356.21777,5.19677
